Prolific PID,Bonus Amount
5a0c4184fe645f0001e9f5dd,1.92
5a9fa90f873cda00010d29d8,1.8
5c64059c9dcb0f0001d6cea2,1.88
5cd2f861ad27b40016acd64e,2.0
5d49ed282b64de00011b9f65,1.83
5d5a75c570a7c1000152623e,1.65
5dd0409d9ca8a312350a4118,2.22
5df7b6b6ef7f5e55506510c7,2.26
5e3d57c40d3a26000edff2e1,1.71
5e7e1679f8a96f4be83e51e4,1.55
5f25e860dd98342ce97e7403,2.58
5f5bb87a0093333445af65f2,2.65
60001f74b9d8d70009041d15,1.84
60188eb2eaec9e169fcc94a4,1.58
6023f94d1951e70ae21770ec,1.16
612ebddc643b39a4342de819,1.69
61680035775d6be6c3034464,2.04
627a76b96bea55210aecbba9,1.7
62b4403257f7d42730f83394,1.5
62e3b86e93ec657bf1a690b5,1.84
62ead930d596b021e1e12007,2.13
6658c4239af9537eefdfbcc9,1.84
6659cb22b8e889fe11ae56d2,2.1
67628c956106c1752ccacb35,1.94
67d80b3db0cac8b1bd982fb2,2.04
69675e10c3edfca6340cfc0d,1.79
6978d1ad095512a89966d6ce,1.12
6978e242839618ec69f8f55e,2.46
6978e620dcbd6b941c846baf,1.66
