code_participant;traitement;phase;round;couleur_fleurs;nutrients;score_fleurs;noise;score_total_fin_exp;annee_naissance;feedback
c6h2jvp7;Anomaly no noise;Training phase;1;"[""Purple"", ""Green""]";"[[""Red"", ""Red""], [""Blue"", """"]]";"[""5"", ""5""]";[null, null];0.1;;
c6h2jvp7;Anomaly no noise;Training phase;2;"[""Green"", ""Purple""]";"[[""Red"", """"], [""Blue"", """"]]";"[""2"", ""5""]";[null, null];0.17;;
c6h2jvp7;;;3;;;;;0.0;;
c6h2jvp7;;;4;;;;;0.0;;
c6h2jvp7;;;5;;;;;0.0;;
c6h2jvp7;;;6;;;;;0.0;;
c6h2jvp7;;;7;;;;;0.0;;
c6h2jvp7;;;8;;;;;0.0;;
c6h2jvp7;;;9;;;;;0.0;;
c6h2jvp7;;;10;;;;;0.0;;
c6h2jvp7;;;11;;;;;0.0;;
bw99gfcn;Transmission correct;Training phase;1;"[""Purple"", ""Green""]";"[[""Red"", """"], [""Yellow"", """"]]";"[""2"", ""3""]";[null, null];0.05;;
bw99gfcn;;;2;;;;;0.05;;
bw99gfcn;;;3;;;;;0.0;;
bw99gfcn;;;4;;;;;0.0;;
bw99gfcn;;;5;;;;;0.0;;
bw99gfcn;;;6;;;;;0.0;;
bw99gfcn;;;7;;;;;0.0;;
bw99gfcn;;;8;;;;;0.0;;
bw99gfcn;;;9;;;;;0.0;;
bw99gfcn;;;10;;;;;0.0;;
bw99gfcn;;;11;;;;;0.0;;
n7twh4vh;Transmission M&M;Training phase;1;"[""Purple"", ""Green""]";"[[""Blue"", ""Blue""], [""Blue"", ""Yellow""]]";"[""10"", ""8""]";[null, null];0.18;;
n7twh4vh;;;2;;;;;0.18;;
n7twh4vh;;;3;;;;;0.0;;
n7twh4vh;;;4;;;;;0.0;;
n7twh4vh;;;5;;;;;0.0;;
n7twh4vh;;;6;;;;;0.0;;
n7twh4vh;;;7;;;;;0.0;;
n7twh4vh;;;8;;;;;0.0;;
n7twh4vh;;;9;;;;;0.0;;
n7twh4vh;;;10;;;;;0.0;;
n7twh4vh;;;11;;;;;0.0;;
2n88fytt;No Anomaly no noise;Training phase;1;"[""Purple"", ""Green""]";"[[""Red"", ""Blue""], [""Blue"", ""Yellow""]]";"[""8"", ""8""]";[null, null];0.16;;
2n88fytt;No Anomaly no noise;Training phase;2;"[""Green"", ""Purple""]";"[[""Red"", """"], [""Blue"", """"]]";"[""2"", ""5""]";[null, null];0.23;;
2n88fytt;;;3;;;;;0.23;;
2n88fytt;;;4;;;;;0.0;;
2n88fytt;;;5;;;;;0.0;;
2n88fytt;;;6;;;;;0.0;;
2n88fytt;;;7;;;;;0.0;;
2n88fytt;;;8;;;;;0.0;;
2n88fytt;;;9;;;;;0.0;;
2n88fytt;;;10;;;;;0.0;;
2n88fytt;;;11;;;;;0.0;;
pldoqoxl;Anomaly noisy;Training phase;1;"[""Purple"", ""Green""]";"[[""Red"", """"], [""Blue"", """"]]";"[""2"", ""3""]";"[null, {""index"": 1, ""type"": ""decrease"", ""amount"": -0.2, ""before"": 0.5, ""after"": 0.3}]";0.05;;
pldoqoxl;Anomaly noisy;Training phase;2;"[""Green"", ""Purple""]";"[[""Blue"", """"], [""Blue"", """"]]";"[""5"", ""3""]";"[null, {""index"": 1, ""type"": ""decrease"", ""amount"": -0.2, ""before"": 0.5, ""after"": 0.3}]";0.13;;
pldoqoxl;;;3;;;;;0.13;;
pldoqoxl;;;4;;;;;0.0;;
pldoqoxl;;;5;;;;;0.0;;
pldoqoxl;;;6;;;;;0.0;;
pldoqoxl;;;7;;;;;0.0;;
pldoqoxl;;;8;;;;;0.0;;
pldoqoxl;;;9;;;;;0.0;;
pldoqoxl;;;10;;;;;0.0;;
pldoqoxl;;;11;;;;;0.0;;
478eyibg;No Anomaly noisy;Training phase;1;"[""Purple"", ""Green""]";"[[""Red"", """"], [""Yellow"", ""Yellow""]]";"[""2"", ""8""]";"[null, {""index"": 1, ""type"": ""increase"", ""amount"": 0.2, ""before"": 0.6, ""after"": 0.8}]";0.1;;
478eyibg;;;2;;;;;0.1;;
478eyibg;;;3;;;;;0.0;;
478eyibg;;;4;;;;;0.0;;
478eyibg;;;5;;;;;0.0;;
478eyibg;;;6;;;;;0.0;;
478eyibg;;;7;;;;;0.0;;
478eyibg;;;8;;;;;0.0;;
478eyibg;;;9;;;;;0.0;;
478eyibg;;;10;;;;;0.0;;
478eyibg;;;11;;;;;0.0;;
